Name,City,Venue,Price,Date
99 CLUB LEICESTER SQUARE COMEDY - FRI 30TH OCTOBER,,London 99 Club @ Storm Nightclub, 28A Leicester St, London, Greater London WC2H 7LE,Information unavailable,Fri 30th Oct, 2015 Doors: 7:30pm   Starts: 8:30pm   Ends: 10:30pm
A CELEBRATION OF SIMON & GARFUNKEL,THRELKELD: ,Village Hall,&pound;11.00,Fri 30th Oct, 2015, 7:30pm
A GRAND NIGHT OF OPERA - IN SEVILLE AND SPAIN,CHATHILL: ,Doxford Hall,&pound;78.44,Fri 30th Oct, 2015, 6:15pm
AC/DC TRIBUTE BY LIVEWIRE - SEATED,WANTAGE: ,Shush,&pound;13.20,Fri 30th Oct, 2015, 8:00pm
AC/DC TRIBUTE BY LIVEWIRE - STANDING,WANTAGE: ,Shush,&pound;11.00,Fri 30th Oct, 2015, 8:00pm
ACOUSTIC HAVEN - MARTHA TILSTON AND THE WOODS - OCTOBER 30TH 2015,TOTNES: ,St Johns Church,&pound;13.20,Fri 30th Oct, 2015, 6:30pm
ACOUSTIC HAVEN - MARTHA TILSTON AND THE WOODS - OCTOBER 30TH 2015,TOTNES: ,St Johns Church,&pound;11.00,Fri 30th Oct, 2015, 6:30pm
ADULT'S HALLOWEEN ROLLER DISCO,WILLINGTON: ,Spectrum Leisure Centre,&pound;5.50,Fri 30th Oct, 2015, 7:00pm
ADVENTURES WITH MORRISSEY,LONDON: ,The North London Tavern,&pound;8.80,Fri 30th Oct, 2015, 8:00pm
AN EVENING WITH DONOVAN,WORTHING : ,Assembly Hall,&pound;29.43,Fri 30th Oct, 2015, 7:00pm
AN EVENING WITH DOUG ALDRICH,BALLYMENA: ,Diamond Rock Club,&pound;13.20,Fri 30th Oct, 2015, 8:30pm
ANDREW WATTS,SHEFFIELD: ,The Greystones,&pound;6.60,Fri 30th Oct, 2015, 8:00pm
ANDREW WATTS,SHEFFIELD: ,The Greystones,&pound;5.50,Fri 30th Oct, 2015, 8:00pm
ASH IS A ROBOT,HITCHIN: ,Club 85,&pound;6.60,Fri 30th Oct, 2015, 7:45pm
BANANA CABARET,LONDON: ,The Bedford,&pound;15.40,Fri 30th Oct, 2015, 7:30pm
BANKSIDE GHOSTS AND MONSTERS WALK,LONDON: ,Southwark Station,&pound;5.50,Fri 30th Oct, 2015, 7:00pm
BEACH HOUSE,LONDON: ,O2 Shepherds Bush Empire,&pound;24.20,Fri 30th Oct, 2015, 7:00pm
BEETLEJUICE (1988),LONDON: ,The LookOut, Hyde Park,&pound;27.50,Fri 30th Oct, 2015, 6:30pm
BEHIND CLOSED DOORS W/ KILL FRENZY,LONDON: ,Brixton Jamm,&pound;16.50,Fri 30th Oct, 2015, 10:00pm
BIG RED ASS,ALTON: ,The Lounge Bar,&pound;3.30,Fri 30th Oct, 2015, 7:30pm
BLACK HUTS FESTIVAL:JAMES KELMAN / JOHN HEALY,HASTINGS: ,The Beacon,&pound;8.80,Fri 30th Oct, 2015, 6:00pm
BLACK HUTS FESTIVAL:JAMES KELMAN / JOHN HEALY,HASTINGS: ,The Beacon,&pound;6.60,Fri 30th Oct, 2015, 6:00pm
BLACKALICIOUS,MANCHESTER: ,Sound Control,&pound;16.50,Fri 30th Oct, 2015, 7pm doors
BLACKALICIOUS,MANCHESTER: ,Sound Control,&pound;19.25,Fri 30th Oct, 2015, 7:00pm
BLOW UP + BLOW UP DJS,LONDON: ,St. Moritz Club,&pound;6.60,Fri 30th Oct, 2015, 10:00pm
BOADS PRESENT ?CAROUSEL?,BRIXHAM: ,Theatre,&pound;14.30,Fri 30th Oct, 2015, 7:30pm
BOADS PRESENT ?CAROUSEL?,BRIXHAM: ,Theatre,&pound;13.20,Fri 30th Oct, 2015, 7:30pm
BOADS PRESENT ?CAROUSEL?,BRIXHAM: ,Theatre,&pound;7.70,Fri 30th Oct, 2015, 7:30pm
